File,Cities,Optimal Solution,Twice Around the Tree Solution,Christofides Solution,Branch-and-bound Solution,Twice Around Time,Christofides Time,Branch-and-bound Time,Twice Around Memory,Christofides Memory,Branch-and-bound Memory,Twice Around Proportion,Christofides Proportion
st70,70,675,888,770.0,,0.0037894248962402344,0.02263498306274414,,98.453125,99.203125,,1.3155555555555556,1.1407407407407408
gr666,666,294358,399767,326800.0,,0.6513395309448242,15.647941827774048,,180.953125,184.3984375,,1.3580979623451714,1.1102127341536496
bayg29,29,1610,2210,1765.0,,0.0037882328033447266,0.009070158004760742,,177.9921875,177.9921875,,1.3726708074534162,1.0962732919254659
pr2392,2392,378032,523107,,,11.449713468551636,,,1200.640625,,,1.3837638083548482,
tsp225,225,3916,5161,4397.0,,0.0618436336517334,0.3078901767730713,,945.46484375,941.48046875,,1.317926455566905,1.122829417773238
kroC100,100,20749,27968,23470.0,,0.022630691528320312,0.0952298641204834,,941.48046875,927.62109375,,1.3479203817051424,1.1311388500650634
pa561,561,2763,3963,3180.0,,0.5281944274902344,5.986839294433594,,941.87109375,266.38671875,,1.4343105320304017,1.1509229098805647
teste13,13,0,35,35.0,32.0,0.0004055500030517578,0.0027582645416259766,5.683496475219727,263.40234375,263.40234375,0.0,0.0,0.0
eil51,51,426,584,462.0,,0.002645254135131836,0.013524532318115234,,262.69921875,262.69921875,,1.3708920187793427,1.0845070422535212
pcb442,442,50778,69223,54868.0,,0.24833059310913086,2.3521108627319336,,280.94921875,256.6640625,,1.3632478632478633,1.0805466934499193
gr120,120,6942,9190,8016.0,,0.013205289840698242,0.1463792324066162,,256.6640625,256.6640625,,1.323825986747335,1.1547104580812446
a280,280,2579,3592,2913.0,,0.1278386116027832,0.5301334857940674,,239.359375,239.609375,,1.3927879022877083,1.1295075610701821
gr96,96,55209,75301,62101.0,,0.018156051635742188,0.08056759834289551,,239.609375,239.609375,,1.3639261714575521,1.1248347189769783
pr76,76,108159,145336,116684.0,,0.0070302486419677734,0.02144312858581543,,239.609375,239.609375,,1.3437254412485322,1.0788191458870737
teste12,12,0,33,33.0,32.0,0.0003848075866699219,0.0021467208862304688,1.2286345958709717,239.609375,239.609375,0.0,0.0,0.0
eil76,76,538,696,608.0,,0.005402803421020508,0.03441333770751953,,239.609375,239.609375,,1.2936802973977695,1.1301115241635689
ch130,130,6110,8129,6773.0,,0.06853961944580078,0.09242105484008789,,239.609375,237.671875,,1.330441898527005,1.1085106382978724
lin105,105,14379,19495,16320.0,,0.01298379898071289,0.06060981750488281,,237.671875,237.671875,,1.355796647889283,1.1349885249321927
att48,48,10628,13925,12613.0,,0.0030260086059570312,0.022907257080078125,,237.671875,237.671875,,1.310218291305984,1.1867707941287167
gr202,202,40160,51990,43255.0,,0.03984212875366211,0.544546365737915,,237.671875,237.671875,,1.2945717131474104,1.077066733067729
ch150,150,6528,8347,7135.0,,0.02390885353088379,0.0943150520324707,,237.671875,237.671875,,1.2786458333333333,1.092984068627451
eil101,101,629,830,707.0,,0.011060953140258789,0.0698554515838623,,236.69921875,236.69921875,,1.3195548489666136,1.124006359300477
kroA100,100,21282,27210,23293.0,,0.008971691131591797,0.059302330017089844,,236.69921875,236.69921875,,1.2785452495066254,1.0944929987783103
berlin52,52,7542,10114,8591.0,,0.0031020641326904297,0.01321864128112793,,236.69921875,236.69921875,,1.3410236011667993,1.1390877751259614
kroD100,100,21294,27112,23583.0,,0.010711908340454102,0.05450868606567383,,236.69921875,236.69921875,,1.2732225039917349,1.1074950690335306
